year,month,dasarian_num,ET0_dasarian_mm_dasarian,hujan_dasarian_mm,GWETROOT
1998,4,2,36.46875535,123.17,0.958
1998,4,3,38.08904856,34.01,0.951
1998,5,1,35.16796084,34.74,0.925
1998,5,2,32.88880373,150.33,0.9550000000000001
1998,5,3,41.31843788,13.93,0.9327272727272727
1998,6,1,33.225762,51.83,0.9109999999999999
1998,6,2,32.86789556,63.4,0.913
1998,6,3,34.10675734,22.18,0.901
1998,7,1,35.31461036,28.5,0.859
1998,7,2,33.30754498,130.54,0.876
1998,7,3,36.11102324,201.78,0.97
1998,8,1,35.10623757,130.73,0.968
1998,8,2,34.70033583,72.34,0.9559999999999998
1998,8,3,38.32261607,169.65,0.9663636363636363
1998,9,1,35.81891699,110,0.967
1998,9,2,37.32916949,38.04,0.9390000000000001
1998,9,3,33.82105994,148.28,0.9460000000000001
1998,10,1,34.26980002,89.38,0.9650000000000001
1998,10,2,32.97530684,177.7,0.9730000000000001
1998,10,3,35.48181727,153.49,0.9854545454545455
1998,11,1,34.94183693,279.55,0.992
1998,11,2,33.43693907,43.29,0.967
1998,11,3,36.98102724,49.05,0.924
1998,12,1,33.86849783,103.63,0.924
1998,12,2,32.65607831,127.6,0.967
1998,12,3,34.53861292,106.2,0.9545454545454546
1999,1,1,32.26873773,150.61,0.976
1999,1,2,33.37127975,76.76,0.9800000000000001
1999,1,3,33.98646323,115.45,0.9772727272727273
1999,2,1,35.07625552,89.35,0.966
1999,2,2,35.75257047,24.55,0.9490000000000001
1999,2,3,25.74807165,66.37,0.9325
1999,3,1,35.58073846,77.03,0.944
1999,3,2,35.91734279,81.88,0.95
1999,3,3,41.81496041,54.42,0.9172727272727272
1999,4,1,38.72282522,56.16,0.8859999999999999
1999,4,2,39.62282004,54.86,0.892
1999,4,3,37.08095467,25.42,0.851
1999,5,1,33.12346342,70.39,0.842
1999,5,2,35.60558366,18.57,0.8310000000000001
1999,5,3,38.26148285,60.83,0.8336363636363636
1999,6,1,34.11920458,95.57,0.842
1999,6,2,34.10818554,13.41,0.837
1999,6,3,32.90193368,43.77,0.798
1999,7,1,30.49117946,67.78,0.8009999999999999
1999,7,2,31.5781527,74.12,0.819
1999,7,3,39.48223471,4.3,0.7945454545454546
1999,8,1,33.79185062,15.44,0.728
1999,8,2,35.96015936,50.21,0.719
1999,8,3,37.72491565,26.57,0.7
1999,9,1,38.77351191,29.1,0.647
1999,9,2,40.34072914,47.23,0.635
1999,9,3,37.09091368,36.52,0.63
1999,10,1,41.31293197,98.49,0.639
1999,10,2,34.16388691,217.01,0.786
1999,10,3,35.64640475,68.32,0.8481818181818181
1999,11,1,33.71718656,145.7,0.8880000000000001
1999,11,2,34.13987226,89.28,0.907
1999,11,3,35.32853484,95.79,0.9269999999999999
1999,12,1,34.07104055,131.73,0.9400000000000001
1999,12,2,33.10964467,120.14,0.968
1999,12,3,36.08163085,157.28,0.9709090909090908
2000,1,1,32.3366602,82.07,0.978
2000,1,2,33.38876031,39.84,0.9570000000000001
2000,1,3,37.36362418,125.46,0.9390909090909091
2000,2,1,33.48498805,101.52,0.9730000000000001
2000,2,2,38.85321988,37.28,0.932
2000,2,3,33.67534598,24.05,0.9088888888888889
2000,3,1,36.95045901,44.96,0.883
2000,3,2,36.08170004,63.64,0.8789999999999999
2000,3,3,40.27497737,98.93,0.8672727272727272
2000,4,1,34.74362891,98.01,0.9120000000000001
2000,4,2,37.74433474,56.01,0.917
2000,4,3,34.74775226,122.53,0.946
2000,5,1,37.8599365,21.7,0.9269999999999999
2000,5,2,34.92964526,96,0.932
2000,5,3,37.26458837,51.89,0.8963636363636364
2000,6,1,32.44021007,74.04,0.8960000000000001
2000,6,2,32.05760545,21.89,0.874
2000,6,3,29.5386396,33.14,0.859
2000,7,1,32.76387754,27.44,0.8459999999999999
2000,7,2,31.88741145,70.56,0.828
2000,7,3,33.45311069,82.99,0.8409090909090909
2000,8,1,32.99318938,64.32,0.86
2000,8,2,33.88503578,114.62,0.899
2000,8,3,41.71542764,3.21,0.8327272727272728
2000,9,1,40.12106141,4.4,0.775
2000,9,2,37.58118828,23.27,0.713
2000,9,3,36.01048161,142.9,0.777
2000,10,1,36.28623093,84.47,0.796
2000,10,2,33.38388741,191.01,0.8460000000000001
2000,10,3,36.94836459,112.99,0.9236363636363637
2000,11,1,34.19773966,45.28,0.925
2000,11,2,35.30954497,101.93,0.9269999999999999
2000,11,3,32.26759199,247.43,0.9789999999999999
2000,12,1,31.2935553,164.48,0.9789999999999999
2000,12,2,31.76799885,139.69,0.9810000000000001
2000,12,3,35.46010334,154.43,0.9863636363636363
2001,1,1,35.85792813,97.4,0.9879999999999999
2001,1,2,35.3293168,20.5,0.95
2001,1,3,35.4384442,68.6,0.9290909090909092
2001,2,1,31.79896662,169.9,0.9400000000000001
2001,2,2,35.60112569,103.41,0.968
2001,2,3,26.06160966,175.59,0.9824999999999999
2001,3,1,33.46922809,61.28,0.9730000000000001
2001,3,2,42.49872157,35.85,0.9400000000000001
2001,3,3,41.84168169,132.08,0.9272727272727272
2001,4,1,36.28574484,143.08,0.9629999999999999
2001,4,2,35.80282022,118.15,0.968
2001,4,3,36.30051464,45.57,0.95
2001,5,1,35.12070594,42.24,0.9269999999999999
2001,5,2,33.51435669,20.38,0.9040000000000001
2001,5,3,36.7866898,16.96,0.8636363636363636
2001,6,1,33.71558445,46.86,0.8469999999999999
2001,6,2,32.3450294,9.02,0.821
2001,6,3,35.31495967,9.43,0.774
2001,7,1,34.35196752,52.48,0.771
2001,7,2,34.70455682,58.61,0.742
2001,7,3,35.87936151,17.82,0.7418181818181818
2001,8,1,32.15572647,67.93,0.746
2001,8,2,38.60029832,0.44,0.7070000000000001
2001,8,3,37.03914283,27.62,0.6763636363636364
2001,9,1,36.21888199,67.4,0.6769999999999999
2001,9,2,42.06256146,89.81,0.712
2001,9,3,38.66617636,74.1,0.683
2001,10,1,33.75161845,123.27,0.759
2001,10,2,35.8558048,114.89,0.808
2001,10,3,36.14042631,109.85,0.9081818181818182
2001,11,1,35.82022876,30.36,0.8960000000000001
2001,11,2,34.52930276,186.64,0.914
2001,11,3,33.68479631,91.68,0.9629999999999999
2001,12,1,31.04569479,86.64,0.9490000000000001
2001,12,2,34.26902445,64.08,0.9480000000000001
2001,12,3,35.68576333,114.35,0.959090909090909
2002,1,1,38.57717773,106.46,0.932
2002,1,2,35.26958782,129.24,0.9559999999999998
2002,1,3,34.29344713,280.76,0.9827272727272728
2002,2,1,38.76547219,5.59,0.959
2002,2,2,31.90332119,162.13,0.9269999999999999
2002,2,3,29.29964168,77.67,0.97
2002,3,1,35.07988099,47.88,0.9570000000000001
2002,3,2,35.34345975,89.55,0.95
2002,3,3,40.38986375,105.01,0.9490909090909091
2002,4,1,34.47453707,63.61,0.946
2002,4,2,36.85767816,15.23,0.917
